 TITLE = "f:\20200825Ma7jiaozheng\num1\Test0120200827122054.dat"
  VARIABLES = "t(s)","PV(Pa)","PS(atm)","PI(atm)","TH(K)","TB(K)","PH(atm)","PB(atm)"
 ZONE I=           4000, DATAPACKING=POINT
 AUXDATA	ChNumber="8"
 AUXDATA	SaveFreqinHz="100"
 AUXDATA	StartTimeinSec="3807519654.015"
         0.9400       566.1622        60.1882        19.0715       581.8315       349.1497         0.0745        -0.2288
         0.9500       563.4912        60.1738        19.0440       581.4018       348.9146         0.0845        -0.2130
         0.9600       558.2638        60.2004        19.0486       581.7416       349.1525         0.0981        -0.2239
         0.9700       565.2171        60.2460        19.0914       581.6968       349.2291         0.0792        -0.2152
         0.9800       562.4275        60.1887        19.0611       581.7627       349.0962         0.0905        -0.2020
         0.9900       560.5908        60.2584        19.0544       581.9652       349.3731         0.0785        -0.2264
         1.0000       563.7692        60.2413        19.0723       581.5394       348.9812         0.0744        -0.2190
         1.0100       561.1566        60.1106        19.0592       581.6975       348.8777         0.0989        -0.1908
         1.0200       566.8911        60.2117        19.0786       581.9619       349.1999         0.0800        -0.2233
         1.0300       568.5479        60.2197        19.0666       581.7946       349.0048         0.0821        -0.2151
         1.0400       563.4380        60.1571        19.0615       581.9235       349.1850         0.0949        -0.2003
         1.0500       563.8486        60.2759        19.0785       581.8149       349.0407         0.0836        -0.2232
         1.0600       559.8512        60.1734        19.0542       581.7476       348.8847         0.0967        -0.2085
         1.0700       560.0041        60.1599        19.0675       582.1151       348.9540         0.0876        -0.2204
         1.0800       564.6518        60.2417        19.0695       581.7908       348.7451         0.0727        -0.2175
         1.0900       565.1608        60.1103        19.0585       581.9837       349.3342         0.0949        -0.2058
         1.1000       564.6623        60.2064        19.0714       582.1227       349.1119         0.0862        -0.2279
         1.1100       560.8711        60.2386        19.0708       581.5558       348.7526         0.0896        -0.1984
         1.1200       562.3777        60.1314        19.0942       581.8281       349.1346         0.0974        -0.2009
         1.1300       564.3410        60.2385        19.0996       581.7888       348.8013         0.0813        -0.2211
         1.1400       561.0499        60.2311        19.0516       581.5641       349.0663         0.0904        -0.1998
         1.1500       564.1824        60.2191        19.0641       581.7226       349.3006         0.0782        -0.2125
         1.1600       563.1236        60.1999        19.0819       581.3983       348.8126         0.0645        -0.2234
         1.1700       559.4142        60.1561        19.0688       581.7591       349.2410         0.0879        -0.2031
         1.1800       561.0100        60.2997        19.0728       581.9841       349.1520         0.0841        -0.2110
         1.1900       561.6775        60.2113        19.0688       581.4920       349.0241         0.0817        -0.2128
         1.2000       560.8252        60.0899        19.0613       581.6312       349.2102         0.0855        -0.2042
         1.2100       562.8273        60.1873        19.0617       581.7744       348.9026         0.0790        -0.2209
         1.2200       563.8418        60.1480        19.0688       581.5475       349.0794         0.0900        -0.2191
         1.2300       563.8970        60.1704        19.0779       581.8803       348.6828         0.0915        -0.2103
         1.2400       561.7734        60.2103        19.0664       581.6186       348.5321         0.0853        -0.2137
         1.2500       559.7050        60.1890        19.0622       581.5397       349.3348         0.0913        -0.2217
         1.2600       564.7934        60.2307        19.0718       582.1663       349.0208         0.0774        -0.2353
         1.2700       560.7508        60.2098        19.0620       581.8173       348.9374         0.0823        -0.2090
         1.2800       559.1703        60.1868        19.0628       581.6080       349.1933         0.0925        -0.2056
         1.2900       570.0099        60.1947        19.0784       581.7219       349.1136         0.0784        -0.2236
         1.3000       560.1970        60.1812        19.0646       581.5013       349.1173         0.0900        -0.2142
         1.3100       561.6073        60.1793        19.0698       581.7611       349.0786         0.0843        -0.2283
         1.3200       564.0995        60.2140        19.0641       581.6665       349.1632         0.0763        -0.2282
         1.3300       553.7328        60.2368        19.0489       581.7883       349.0829         0.0990        -0.2063
         1.3400       565.5982        60.2288        19.0666       581.8883       349.0473         0.0831        -0.2178
         1.3500       567.3409        60.1884        19.0740       581.3869       349.2519         0.0780        -0.2065
         1.3600       558.3016        60.1317        19.0724       581.6415       349.2022         0.0878        -0.2218
         1.3700       562.1454        60.2356        19.0732       582.0590       349.0586         0.0786        -0.2462
         1.3800       561.1711        60.1934        19.0547       581.9175       349.0566         0.0883        -0.2212
         1.3900       562.0445        60.1724        19.0657       582.0333       348.9572         0.0759        -0.2229
